TAG,FR,EN,DE,IT,ES
au,au," to "," zu "," a "," a "
Modification des données,Modification des données,Data edition,Datenausgabe,Edizione dati,Edición de datos
Détails de la parcelle,Détails de la parcelle,Parcel details,Paketdetails,Dettagli pacco,Detalles del paquete
Statistiques d'utilisation,Statistiques d'utilisation,Data analytics,Datenanalytik,Analisi dei dati,Análisis de datos
Utilisateurs,Utilisateurs,Users,Benutzer,Utenti,Usuarios
Nombre de connexions par semaine,Nombre de connexions par semaine,Connections per week,Verbindungen pro Woche,Connessioni settimanali,Conexiones por semana
Nombre de connexions par utilisateur,Nombre de connexions par utilisateur,Connections per user,Verbindungen pro Benutzer,Connessioni per utente,Conexiones por usuario
Répartition des visites par page,Répartition des visites par page,Visits distribution per page,Verteilung der Besuche pro Seite,Distribuzione delle visite per pagina,Distribución de visitas por página
Nombre de pages consultées par visite,Nombre de pages consultées par visite,Average pages number per visit,Durchschnittliche Seitenzahl pro Besuch,Numero medio di pagine per visita,Número medio de páginas por visita
Nombre d'utilisateurs par jour,Nombre d'utilisateurs par jour,Average user number per day,Durchschnittliche Nutzerzahl pro Tag,Numero medio di utenti al giorno,Número medio de usuarios por día
Fréquence de connexion par utilisateur,Fréquence de connexion par utilisateur,User connection frequency,Häufigkeit der Benutzerverbindungen,Frequenza di connessione dell'utente,Frecuencia de conexiones por usuario
/ semaine,/ semaine,/ week,/ Woche,/ settimana,/ por semana
Durée moyenne d'une session,Durée moyenne d'une session,Average session duration,Durchschnittliche Sitzungsdauer,Durata media della sessione,Duración media de la sesión
min,min,min,min,min,min
Focus produit,Focus produit,Product focus,Produktschwerpunkt,Focus sul prodotto,Enfoque del producto
Tous produits confondus,Tous produits confondus,All products,Alle Produkte,Tutti i prodotti,Todos los productos
Informations à la parcelle,Informations à la parcelle,Parcel info,Paketinformationen,Info pacco,Información del paquete
Super administrateur,Super administrateur,Super administrator,Superadministrator,Super amministratore,Superadministrador
Organisation,Organisation,Organisation,Organisation,Organizzazione,Organización
Parcelle,Parcelle,Parcel,Parzelle,Parcella,Paquete
Exporter en CSV,Exporter en CSV,Export to CSV,In CSV exportieren,Esportazione in CSV,Exportar a CSV
Rechercher,Rechercher,Search,Suche,Ricerca,Buscar en
Secteurs,Secteurs,Sector,Sektor,Settore,Sector
Région Corteva,Région Corteva,Corteva region,Corteva-Region,Regione Corteva,Región Corteva
Zone pull,Zone pull,Pull zone,Zugzone,Zona di tiro,Zona de tiro
Secteur,Secteur,Sector,Sektor,Settore,Sector
Commune,Commune,Municipality,Gemeinde,Comune,Municipio
Hectares (ha),Hectares (ha),Area (ha),Fläche (ha),Area (ha),Superficie (ha)
Me géolocaliser,Me géolocaliser,Geolocate me,Geolokalisiere mich,Geolocalizzami,Geolocalízame
Visite en ferme,Visite en ferme,Farm visit,Besuch auf dem Bauernhof,Visita in fattoria,Visita a la explotación
ou,ou,or,oder,o,o
Géolocalisation,Géolocalisation,Geolocation,Geolokalisierung,Geolocalizzazione,Geolocalización
Irrigué,Irrigué,Irrigated,Bewässert,Irrigato,De regadío
Non-irrigué,Non-irrigué,Unirrigated,Unbewässert,Non irrigato,Sin regar
I3P,I3P,I3P,I3P,I3P,I3P
Stress hydrique,Stress hydrique,Water stress,Wasserstress,Stress idrico,Estrés hídrico
Irrigation,Irrigation,Irrigation,Bewässerung,Irrigazione,Riego
Informations de la parcelle modifiées avec succès,Informations de la parcelle modifiées avec succès,Parcel info successfully modified,Parzelleninfo erfolgreich geändert,Parcel info successfully modified,Información de la parcela modificada correctamente
Informations de la parcelle validées avec succès,Informations de la parcelle validées avec succès,Parcel info successfully validated,Paketinfo erfolgreich validiert,Informazioni sul pacco convalidate con successo,Información de la parcela validada correctamente
Faible,Faible,Low,Niedrig,Basso,Bajo
Moyen,Moyen,Moderate,Mäßig,Moderato,Moderado
Elevé,Elevé,High,Hoch,Alto,Alto
Oui,Oui,Yes,Ja,Sì,Sí
Non,Non,No,Nein,No,No
Sable,Sable,Sand,Sand,Sabbia,Arena
Sable limoneux,Sable limoneux,Loamy sand,Lehmiger Sand,Sabbia limosa,Arena limosa
Limon sableux,Limon sableux,Sandy loam,Sandiger Lehm,Terreno sabbioso,Franco arenoso
Limon fin,Limon fin,Silt,Schlick,Limo fine,Limo
Limon très fin,Limon très fin,Silty loam,Schluffiger Lehm,Limo molto fine,Franco limoso
Limon,Limon,Loam,Lehm,Limo,Marga
Limon argileux fin,Limon argileux fin,Silty clay loam,"Schluffiger Tonlehm,",Limo argilloso,Franco arcilloso limoso
Limon argileux,Limon argileux,Clay loam,Lehmboden,Terreno argilloso,Franco arcilloso
Limon argilo-sableux,Limon argilo-sableux,Sandy clay loam,Sandiger lehmiger Lehm,Terreno argilloso sabbioso,Franco arcilloso arenoso
Argile sableuse,Argile sableuse,Sandy clay,Sandiger Lehm,Argilla sabbiosa,Arcillo arenoso
Argile limoneuse,Argile limoneuse,Silty clay,Schluffiger Ton,Argilla limacciosa,Arcilla limosa
Argile,Argile,Clay,Lehm,Argilla,Arcilla
Texture du sol,Texture du sol,Soil texture,Bodenbeschaffenheit,Struttura del suolo,Textura del suelo
Modéré,Modéré,Moderate,Mäßig,Moderato,Moderada
Élevé,Élevé,Raised,Aufgezogen,Sollevato,Elevado
Indisponible,Indisponible,Unavailable,Nicht verfügbar,Non disponibile,No disponible
Tout sélectionner,Tout sélectionner,Select all,Alle auswählen,Seleziona tutto,Seleccionar todo
Aucune donnée disponible pour cette année,Aucune donnée disponible pour cette année,No data available for this year,Für dieses Jahr sind keine Daten verfügbar,Non ci sono dati disponibili per quest'anno,No hay datos disponibles para este año
Vous pouvez également rechercher des coordonnées (ex: 48.86;2.33) ou un identifiant de parcelle (ex: [120]),Vous pouvez également rechercher des coordonnées (ex: 48.86;2.33) ou un identifiant de parcelle (ex: [120]),You can also search for coordinates (ex: 48.86;2.33) or parcel id (ex: [120]),Sie können auch nach Koordinaten (z.B.: 48.86;2.33) oder einer Parzellenkennung (z.B.: [120]) suchen.,"È anche possibile cercare le coordinate (ad esempio, 48.86;2.33) o un identificatore di parcella (ad esempio, [120]).",También puedes buscar por coordenadas (ej: 48.86;2.33) o id de parcela (ej: [120])
Intervalle NDVI,Intervalle NDVI,NDVI range,NDVI-Bereich,Gamma NDVI,Rango NDVI
R,R,C,E,R,C
Changé,Changé,Changed,Geändert,Modificato,Cambiado
Modifié,Modifié,Changed,Geändert,Modificato,Cambiado
Validé,Validé,Validated,Validiert,Convalidato,Validado
par,par,by,von,da,por
le,le,on,ein,on,en
Etiquettes,Etiquettes,Tags,Tags,Tag,Etiquetas
Informations supplémentaires,Informations supplémentaires,Additional data,Zusätzliche Daten,Dati aggiuntivi,Datos adicionales
Länder,Länder,Länder,Länder,Länder,Länder
Kreise,Kreise,Kreise,Kreise,Kreise,Distrito
Ämter und Gemeinden,Ämter und Gemeinden,Ämter und Gemeinden,Ämter und Gemeinden,Ämter und Gemeinden,Miembros y Municipios
"Attention, ce changement de statut rendra inactif cet utilisateur","Attention, ce changement de statut rendra inactif cet utilisateur","Be careful, the status change will make this user inactive","Seien Sie vorsichtig, die Statusänderung macht diesen Benutzer inaktiv","Attenzione, il cambio di stato renderà questo utente inattivo","Cuidado, el cambio de estado hará que este usuario quede inactivo"
Actif,Actif,Active,Aktiv,Attivo,Activo
Inactif,Inactif,Disable,Deaktivieren,Disattivare,Desactivar
Subdivisions administratives,Subdivisions administratives,Administrative subdivisions,Administrative Unterteilungen,Sottodivisioni amministrative,Subdivisiones administrativas
Cette parcelle ne fait pas partie de votre zone géographique,Cette parcelle ne fait pas partie de votre zone géographique,This parcel is not in your geographical perimeter,Dieses Grundstück gehört nicht zu Ihrem geografischen Gebiet,Questa parcella non fa parte della vostra area geografica,Esta parcela no forma parte de su zona geográfica
Envoyez-nous un mail à,Envoyez-nous un mail à,Send us an email at,Schicken Sie uns eine E-Mail an,Inviateci un'e-mail a,Envíenos un correo electrónico a
si vous souhaitez la faire évoluer,si vous souhaitez la faire évoluer,if you want to update it,ob Sie sie weiterentwickeln möchten,se si desidera svilupparlo,si desea desarrollarlo
Nombre de silos concernés hors zone,Nombre de silos concernés hors zone,Number of affected silos outside the zone,Anzahl der betroffenen Silos außerhalb der Zone,Numero di sili interessati al di fuori della zona,Número de silos afectados fuera de la zona
Nombre de silos concernés dans la zone,Nombre de silos concernés dans la zone,Number of silos involved in the zone,Anzahl der betroffenen Silos in der Zone,Numero di sili coinvolti nella zona,Número de silos afectados en la zona
Pays,Pays,Countries,Länder,Paesi,Países
Actifs,Actifs,Actives,Aktive,Attivi,Activos
Prévisionnel de collecte,Prévisionnel de collecte,Collect forecast,Prognose sammeln,Previsione di incasso,Recoger previsión
Rendement,Rendement,Yield,Ausbeute,Rendimento,Rendimiento
Parts de marché,Parts de marché,Market share,Marktanteil,Quota di mercato,Cuota de mercado
Récolté,Récolté,Harvested,Geerntet,Raccolta,Cosechado
Tableau,Tableau,Table,Tabelle,Tabella,Tabla
Filtres,Filtres,Filters,Filter,Filtri,Filtros
Ajout d'un filtre,Ajout d'un filtre,Add a filter,Einen Filter hinzufügen,Aggiungere un filtro,Añadir un filtro
Type de donnée,Type de donnée,Data type,Datentyp,Tipo di dati,Tipo de datos
Aucun élément ne répond aux filtres sélectionnés,Aucun élément ne répond aux filtres sélectionnés,No element meets the selected filters,Kein Element entspricht den ausgewählten Filtern,Nessun elemento soddisfa i filtri selezionati,Ningún elemento cumple los filtros seleccionados
Maille géographique,Maille géographique,Geographic Grid,Geografisches Raster,Griglia geografica,Cuadrícula geográfica
Ajout d'une colonne,Ajout d'une colonne,Add a column,Hinzufügen einer Spalte,Aggiungere una colonna,Añadir una columna
Caractéristique parcelle,Caractéristique parcelle,Parcel characteristics,Merkmal Parzelle,Trama caratteristica,Característica de parcela
Merci de rajouter un filtre géographique pour affiner votre requête,Merci de rajouter un filtre géographique pour affiner votre requête,Please add a geographical filter to refine your query,"Bitte fügen Sie einen geografischen Filter hinzu, um Ihre Abfrage zu verfeinern",Si prega di aggiungere un filtro geografico per affinare la query,"Por favor, añada un filtro geográfico para refinar su consulta"
Merci de rajouter un filtre pour préciser les cultures d'intérêt,Merci de rajouter un filtre pour préciser les cultures d'intérêt,Please add a filter to specify the crops of interest,"Bitte fügen Sie einen Filter hinzu, um die Kulturen von Interesse zu spezifizieren",Aggiungere un filtro per specificare le colture di interesse,"Por favor, añada un filtro para especificar los cultivos de interés"
Irriguée,Irriguée,Irrigated,Bewässert,Irrigato,De regadío
Non irriguée,Non irriguée,Unirrigated,Unbewässert,Non irrigato,Sin regar
Géographique,Géographique,Geographic,Geografischer,Geografico,Geográfico
valeurs,valeurs,values,Werte,valori,valores
Valeur initiale,Valeur initiale,Initial value,Ursprünglicher Wert,Valore iniziale,Valor inicial
Cartographie,Cartographie,Map,Kartografie,Mappatura,Cartografía
Vue,Vue,View,Ansicht,Vista,Ver
Calques,Calques,Layers,Ebenen,Livelli,Capas
Aucun,Aucun,No,Keine,No,No
Suivi de campagne,Suivi de campagne,Campaign follow-up,Verfolgung von Kampagnen,Seguito della campagna,Seguimiento de campaña
Répartition assolement,Répartition assolement,Crop rotation distribution,Verteilung der Fruchtfolge,Distribuzione delle colture,Reparto de cultivos
Evolution assolement,Evolution assolement n-1,Crop rotation evolution n-1,Entwicklung der Fruchtfolge n-1,Evoluzione delle colture n-1,Evolución de cultivos n-1
Volume,Volume,Volume,Volumen,Volume,Volumen
Ecarts de maturité,Ecarts de maturité,Maturity differences,Unterschiede bei der Reife,Differenze di maturità,Diferencias de madurez
Avancement cultural (%),Avancement cultural (%),Crop progress (%),Kulturfortschritt (%),Progresso delle colture (%),Progreso del cultivo (%)
Avancement cultural (ha),Avancement cultural (ha),Crop progress (ha),Kulturfortschritt (ha),Avanzamento delle colture (ha),Progreso del cultivo (ha)
Météo,Météo,Weather,Wetter,Tempo atmosferico,Tiempo
Total cultures,Total cultures,Total crops,Gesamt Anbau,Totale colture,Total cultivos
Aucun filtre selectionné,Aucun filtre selectionné,No filter selected,Kein Filter ausgewählt,Nessun filtro selezionato,Ningún filtro seleccionado
Rechercher des parcelles,Rechercher des parcelles,Search for plots,Parzellen suchen,Ricerca di appezzamenti,Buscar parcelas
Bienvenue !,Bienvenue !,Welcome!,Willkommen!,Benvenuti!,¡Bienvenido!
Tonnes (T),Tonnes (T),Tonnes (T),Tonnen (T),Tonnellate (T),Toneladas (T)
Caractéristique,Caractéristique,Features,Merkmal,Caratteristiche,Características
Valeur,Valeur,Value,Wert,Valore,Valor
Prévision de récolte,Prévision de récolte,Harvest forecast,Erntevorhersage,Previsioni di raccolto,Previsión de cosecha
Semis,Semis,Sowing,Aussaat,Semina,Siembra
Culture installée,Culture installée,Crop set up,Angebaute Kultur,Coltura installata,Cultivo instalado
Epiaison/Floraison,Epiaison/Floraison,Heading/Flowering,Ährenschieben/Blütezeit,Epifania/Fioritura,Epílogo/Floración
Maturité physiologique,Maturité physiologique,Physiological maturity,Physiologische Reife,Maturità fisiologica,Madurez fisiológica
Maturité de récolte,Maturité de récolte,Harvest maturity,Reife bei der Ernte,Maturità del raccolto,Madurez de cosecha
Maturité ensilage,Maturité ensilage,Maize silaging maturity,Reifezeit Silage,Maturità dell'insilato,Madurez de ensilado
Maturité maïs grain,Maturité maïs grain,Corn maturity,Reife Körnermais,Maturità del mais da granella,Madurez del maíz en grano
Chute NDVI,Chute NDVI,NDVI falloff,NDVI-Abfall,Caduta NDVI,Caída del NDVI
Récolte,Récolte,Harvest,Ernte,Raccolto,Cosecha
Montée NDVI,Montée NDVI,NDVI rising,Anstieg NDVI,Aumento NDVI,Aumento del NDVI
Saturation NDVI,Saturation NDVI,NDVI saturation,Sättigung NDVI,Saturazione NDVI,Saturación NDVI
Début de sénescence,Début de sénescence,Senescence start,Beginn Seneszenz,Inizio della senescenza,Comienzo de la senescencia
Fin de sénescence,Fin de sénescence,Senescence end,Ende der Seneszenz,Fine della senescenza,Fin de la senescencia
En cours,En cours,In progress,In Arbeit,In corso,En curso
Latitude,Latitude,Latitude,Breitengrad,Latitudine,Latitud
Longitude,Longitude,Longitude,Längengrad,Longitudine,Longitud
Code postal,Code postal,Postcode,Postleitzahl,Codice postale,Código postal
Année,Année,Year,Jahr,Anno,Año
Probabilité,Probabilité,Probability,Wahrscheinlichkeit,Probabilità,Probabilidad
Dernières mises à jour,Dernières mises à jour,Latest updates,Letzte Aktualisierungen,Ultimi aggiornamenti,Últimas actualizaciones
Maintenance,Maintenance,Maintenance,Wartungen,Manutenzione,Mantenimiento
Rafraichir la page,Rafraichir la page,Refresh page,Seite aktualisieren,Aggiorna la pagina,Actualizar página
Hyperplan est en maintenance !,Hyperplan est en maintenance !,Hyperplan is undergoing maintenance!,Hyperplan befindet sich in der Wartung!,Hyperplan è in fase di manutenzione!,Hyperplan está en mantenimiento.
Les opérations que nous menons ne devraient pas durer très longtemps et le site sera de nouveau accessible dans quelques dizaines de minutes.,Les opérations que nous menons ne devraient pas durer très longtemps et le site sera de nouveau accessible dans quelques dizaines de minutes.,The operations we are carrying out should not last very long and the site will be accessible again in a few minutes.,"Die Arbeiten, die wir durchführen, sollten nicht sehr lange dauern und die Seite wird in einigen Dutzend Minuten wieder erreichbar sein.",Le operazioni che stiamo effettuando non dovrebbero durare a lungo e il sito sarà nuovamente accessibile in pochi minuti.,Las operaciones que estamos llevando a cabo no deberían durar mucho y el sitio volverá a ser accesible en unos minutos.
Semaine courante,Semaine courante,Current week,Aktuelle Woche,Settimana corrente,Semana en curso
Parcellaire,Parcellaire,Land parcels,Parzellierung,Parcelle,Parcelas
Collecte,Collecte,Harvest,Sammeln,Raccolta,Recogida
Cliquez pour enregistrer votre sélection comme zone personnalisée,Cliquez pour enregistrer votre sélection comme zone personnalisée,Click to save your selection as a customised zone,"Klicken Sie, um Ihre Auswahl als benutzerdefiniertes Feld zu speichern.",Clicca per salvare la tua selezione come zona personalizzata,Haga clic para guardar su selección como zona personalizada
Récoltable,Récoltable,Harvestable,Erntbar,Raccoglibile,Cosechable
Zones personnalisées,Zones personnalisées,Custom zones,Benutzerdefinierte Felder,Zone personalizzate,Zonas personalizadas
Aucune zone personnalisée existante,Aucune zone personnalisée existante,No existing custom zones,Keine bestehenden benutzerdefinierten Bereiche.,Nessuna zona personalizzata esistente,No existen zonas personalizadas
Absolu,Absolu,Absolute,Absolut,Assoluto,Absoluto
Relatif,Relatif,Relative,Relativ,Relativo,Relativa
Valeur maximum,Valeur maximum,Maximum value,Maximaler Wert,Valore massimo,Valor máximo
Valeur minimum,Valeur minimum,Minimum value,Minimaler Wert,Valore minimo,Valor mínimo
Max. NDVI,Max. NDVI,Max. NDVI,Max. NDVI,Max. NDVI,Max. NDVI
Avancement,Avancement,Progress,Fortschritt,Progressi,Progreso
Date moyenne,Date moyenne,Average date,Durchschnittliches Datum,Data media,Fecha media
Ecart maturité,Ecart maturité,Maturity gap,Abweichung Reife,Scarto di maturità,Brecha de madurez
Stades de maturité,Stades de maturité,Maturity stages,Reifestadien,Stadi di maturità,Etapas de madurez
Stade de maturité,Stade de maturité,Maturity stage,Stadium der Reife,Fase di maturità,Grado de madurez
Indicateurs supplémentaires,Indicateurs supplémentaires,Additional indicators,Zusätzliche Indikatoren,Indicatori aggiuntivi,Indicadores adicionales
Survolez les zones pour voir le détail des valeurs,Survolez les zones pour voir le détail des valeurs,Hover the areas to see detailed values,"Fahren Sie mit der Maus über die Felder, um die Werte im Detail zu sehen",Passare il mouse sulle aree per vedere i valori dettagliati,Pase el ratón por encima de las áreas para ver los valores detallados
Incertitudes importantes sur la détection de ce stade,Incertitudes importantes sur la détection de ce stade,Significant uncertainties regarding the detection of this stage,Große Unsicherheiten bei der Erkennung dieses Stadiums,Incertezze significative per quanto riguarda l'individuazione di questo stadio,Existen importantes incertidumbres en cuanto a la detección de esta etapa
Volume total,Volume total,Total volume,Gesamtvolumen,Volume totale,Volumen total
Part de marché pro forma,Part de marché pro format,Pro format market share,Marktanteil pro Format,Quota di mercato del formato Pro,Cuota de mercado del formato profesional
Volume,Volume,Volume,Volumen,Volume,Volumen
Rendement prévisionnel,Rendement prévisionnel,Forecast yield,Voraussichtlicher Ertrag,Previsione di rendimento,Rendimiento previsto
Flash marché,Flash marché,"""Flash"" market coverage",Flash Marktberichterstattung,"Copertura del mercato ""Flash""","Cobertura del mercado ""flash"""
Veuillez activer la géolocalisation via les paramètres de votre navigateur,Veuillez activer la géolocalisation via les paramètres de votre navigateur,Please activate geolocation via your browser settings,Bitte aktivieren Sie die Geolokalisierung über Ihre Browsereinstellungen.,Attivare la geolocalizzazione tramite le impostazioni del browser,"Por favor, activa la geolocalización a través de la configuración de tu navegador"
du,du,from,von,da,desde
Le champ doit comporter {v} caractères minimum,Le champ doit comporter {v} caractères minimum,,,,
Fin,Fin,End,Ende,Fine,Finalizar
"Pour accélérer le chargement des pages, réduisez vos cultures d'intérêt.","Pour accélérer le chargement des pages, réduisez vos cultures d'intérêt.","To speed up page loading, reduce your crops of interest.","Um das Laden der Seiten zu beschleunigen, verkleinern Sie Ihre Kulturen von Interesse.","Per velocizzare il caricamento della pagina, ridurre le colture di interesse.","Para acelerar la carga de la página, reduzca sus cultivos de interés."
Sélectionner la culture dont vous souhaitez voir les informations depuis le panneau latéral. Certains calques représentent les informations d'une seule culture. C'est le cas des calques de rendements ou d'assolement par exemple.,Sélectionner la culture dont vous souhaitez voir les informations depuis le panneau latéral. Certains calques représentent les informations d'une seule culture. C'est le cas des calques de rendements ou d'assolement par exemple.,"Select the crop whose information you wish to view from the side panel. Some layers represent information on a single crop. This is the case for yield or crop rotation layers, for example.","Wählen Sie die Kultur, deren Informationen Sie sehen möchten, aus der Seitenleiste aus. Einige Ebenen stellen die Informationen einer einzelnen Kultur dar. Dies ist zum Beispiel bei Ertrags- oder Fruchtfolgeebenen der Fall.","Selezionare la coltura di cui si desidera visualizzare le informazioni dal pannello laterale. Alcuni livelli rappresentano informazioni per una singola coltura. È il caso, ad esempio, dei livelli relativi alla resa o alla rotazione delle colture.","Seleccione el cultivo cuya información desea ver en el panel lateral. Algunas capas representan información para un solo cultivo. Es el caso de las capas de rendimiento o rotación de cultivos, por ejemplo."
Ouvrez le moteur de recherche des parcelles pour rechercher une parcelle sur la base de critères définis !,Ouvrez le moteur de recherche des parcelles pour rechercher une parcelle sur la base de critères définis !,Open the parcel search engine to find a plot based on defined criteria!,"Öffnen Sie die Parzellensuche, um anhand festgelegter Kriterien nach einer Parzelle zu suchen!",Aprire il motore di ricerca degli appezzamenti per trovare un appezzamento in base a criteri definiti!,Abra el buscador de parcelas para encontrar una parcela en función de los criterios definidos.
"Dans le module cartographie, exportez les cartes en .png (image) !","Dans le module cartographie, exportez les cartes en .png (image) !","In the map module, export maps as .png images!",Exportieren Sie im Modul Kartografie die Karten als .png (Bild)!,"Nel modulo cartografico, esportare le mappe come immagini .png!","En el módulo cartográfico, exporte los mapas como imágenes .png."
"Dans le module cartographie, exportez les informations affichées sur la carte en format .csv !","Dans le module cartographie, exportez les informations affichées sur la carte en format .csv !","In the map module, export information displayed on the map in .csv format!",Exportieren Sie im Modul Kartografie die auf der Karte angezeigten Informationen im .csv-Format!,"Nel modulo cartografico, esportare le informazioni visualizzate sulla mappa in formato .csv!","En el módulo cartográfico, exporte la información mostrada en el mapa en formato .csv."
Exportez le prévisionnel de collecte en fichier .csv !,Exportez le prévisionnel de collecte en fichier .csv !,Export collect forecasts as .csv files!,Exportieren Sie den Sammelvoranschlag als .csv-Datei!,Esportare le previsioni di raccolta in un file .csv!,Exporte la previsión de recogida en formato .csv.
Sélectionnez une année dans le header pour consulter les informations liées à cette campagne.,Sélectionnez une année dans le header pour consulter les informations liées à cette campagne.,Select a year in the header to view information on that campaign.,"Wählen Sie im Header ein Jahr aus, um die mit dieser Kampagne verbundenen Informationen einzusehen.",Selezionate un anno nell'intestazione per visualizzare le informazioni relative a quella campagna.,Seleccione un año en la cabecera para ver la información de esa campaña.
Accédez au prévisionnel de collecte sous forme de graphique en changeant le mode de vue.,Accédez au prévisionnel de collecte sous forme de graphique en changeant le mode de vue.,Access the collect forecast in graphical form by changing the view mode.,"Greifen Sie auf die Sammelvorschau in Form einer Grafik zu, indem Sie den Ansichtsmodus ändern.",Accedere alle previsioni di raccolta in forma grafica cambiando la modalità di visualizzazione.,Acceda a la previsión de recogida en forma gráfica cambiando el modo de visualización.
Comparez les informations de plusieurs zones géographiques dans le module d'historique de données !,Comparez les informations de plusieurs zones géographiques dans le module d'historique de données !,Compare information from several geographical zones in the data history module!,Vergleichen Sie Informationen aus mehreren geografischen Gebieten im Datenverlaufsmodul!,Confrontate i dati di diverse aree geografiche nel modulo della cronologia dei dati!,Compare los datos de varias zonas geográficas en el módulo de historial de datos.
Cliquez sur la petite loupe dans la barre d'outils pour modifier les critères de recherches de parcelles !,Cliquez sur la petite loupe dans la barre d'outils pour modifier les critères de recherches de parcelles !,Click on the small magnifying glass in the toolbar to modify plot search criteria!,"Klicken Sie auf die kleine Lupe in der Symbolleiste, um die Suchkriterien für Parzellen zu ändern!",Fare clic sulla piccola lente di ingrandimento nella barra degli strumenti per modificare i criteri di ricerca dei grafici!,Haga clic en la pequeña lupa de la barra de herramientas para cambiar los criterios de búsqueda de parcelas.
Le saviez-vous ?,Le saviez-vous ?,Did you know?,Wussten Sie schon?,Lo sapevate?,¿Sabías que...?
Chargement des données de l'application,Chargement des données de l'application,Loading application data,Laden von Daten aus der Anwendung,Caricamento dei dati dall'applicazione,Carga de datos desde la aplicación
